player,Elo_Rating,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win
Nebraska,999.4316804211753,0.653614,0.109235,0.04955,0.020648,0.005968,0.001649
Texas A&M,889.2324715111104,0.346386,0.037641,0.01245,0.003719,0.000773,0.000156
Wisconsin,1015.7967319070382,0.665298,0.287093,0.066502,0.028872,0.008554,0.002549
James Madison,896.1164265566283,0.334702,0.100795,0.015197,0.004585,0.000909,0.000164
Duke,1109.8117531052283,0.861344,0.572923,0.177985,0.096409,0.037058,0.013629
Vermont,792.8661206821776,0.138656,0.039189,0.003935,0.000825,0.000129,1.9e-05
Texas Tech,1027.9536805658172,0.674496,0.293103,0.133653,0.038018,0.011767,0.003325
NC State,901.6540742251765,0.325504,0.097528,0.030796,0.005877,0.001229,0.000252
Kentucky,1118.4534842691414,0.871454,0.575742,0.320839,0.117304,0.045791,0.017146
Oakland,785.7220618051145,0.128546,0.033627,0.006871,0.000835,0.000115,1.9e-05
Florida,1027.5455941113048,0.665547,0.281996,0.130312,0.037346,0.011443,0.003369
Z10,907.9234731277782,0.334453,0.098684,0.032318,0.006345,0.001305,0.000253
Marquette,1126.3389356344517,0.878836,0.588327,0.338776,0.125856,0.05023,0.0192
Western Kentucky,782.2011042521574,0.121164,0.030993,0.006435,0.000785,0.000102,1.4e-05
