player,Elo_Rating,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win
Missouri,1002.6496917036102,0.694854,0.194713,0.073459,0.021669,0.008797,0.00339
Drake,859.6401726653143,0.305146,0.0653,0.020159,0.005012,0.001902,0.000678
Texas Tech,1235.4025464902809,0.917191,0.703884,0.357154,0.135377,0.06575,0.02814
UNC Wilmington,817.6673765200987,0.082809,0.036103,0.009572,0.002131,0.0007,0.000225
Kansas,1009.4900263642709,0.644492,0.170803,0.075401,0.022898,0.009698,0.003736
Arkansas,905.8396827103477,0.355508,0.077184,0.029929,0.008058,0.003076,0.001152
st-johns,1269.1918569602108,0.936523,0.726981,0.426907,0.169463,0.084492,0.037275
Nebraska Omaha,800.0920093710708,0.063477,0.025032,0.007419,0.001612,0.000529,0.000153
Duke,1504.6146817541207,0.975036,0.913512,0.781145,0.539616,0.316933,0.182426
W16,867.1932938029792,0.024964,0.013313,0.005687,0.001818,0.000566,0.000209
Mississippi State,947.5214633933969,0.520562,0.038668,0.019727,0.007409,0.002595,0.001066
Baylor,933.1940919515658,0.479438,0.034507,0.017493,0.006504,0.002318,0.000881
Oregon,970.5100119052552,0.696425,0.219999,0.03118,0.012119,0.004429,0.001855
Liberty,826.5205973930274,0.303575,0.073736,0.008211,0.002674,0.000888,0.000308
Arizona,1166.734406588686,0.872551,0.643448,0.129524,0.061877,0.026414,0.012143
Akron,833.3655711645897,0.127449,0.062817,0.007033,0.002248,0.000694,0.000235
BYU,1007.0021712712066,0.560223,0.218118,0.068747,0.020079,0.008231,0.003652
VCU,965.3880952790067,0.439777,0.161624,0.048677,0.013444,0.005334,0.002344
Wisconsin,1177.4129676661248,0.921117,0.59703,0.226613,0.075273,0.033489,0.015818
Montana,750.1140568203964,0.078883,0.023228,0.00417,0.00074,0.000209,7.1e-05
saint-marys,971.8682063963344,0.615607,0.099193,0.045174,0.011617,0.004401,0.001819
Vanderbilt,890.2239296934075,0.384393,0.052688,0.021828,0.005167,0.00184,0.000758
Alabama,1350.0791557713367,0.958633,0.829803,0.578884,0.238304,0.121619,0.063402
Robert Morris,806.562643252481,0.041367,0.018316,0.005907,0.001111,0.000352,0.000111
Houston,1486.6703883932905,0.974833,0.856561,0.744215,0.539004,0.288933,0.164913
SIU Edwardsville,852.4793438491483,0.025167,0.009114,0.004456,0.001645,0.000435,0.000171
Gonzaga,1107.2234337668547,0.702108,0.102788,0.07124,0.037657,0.014248,0.006481
Georgia,958.0597234271374,0.297892,0.031537,0.019376,0.009003,0.003114,0.001376
Clemson,1068.728429142336,0.739329,0.426972,0.074792,0.036437,0.012927,0.005611
McNeese State,887.6337608012689,0.260671,0.119088,0.01572,0.006518,0.001947,0.000838
Purdue,1045.301398259486,0.777771,0.378247,0.061825,0.02957,0.010104,0.004339
High Point,827.7697225908672,0.222229,0.075693,0.008376,0.00326,0.000908,0.00034
Illinois,1032.1373900949802,0.605696,0.31568,0.110195,0.031693,0.011245,0.004926
X11,957.9655250341222,0.394304,0.188049,0.06048,0.016111,0.005551,0.002328
Kentucky,1085.6005353515718,0.831245,0.440416,0.158115,0.046439,0.016857,0.007446
Troy,808.5090039950488,0.168755,0.055855,0.013394,0.002839,0.000826,0.000301
UCLA,957.9745737160988,0.641944,0.112734,0.054542,0.013345,0.004247,0.001722
Utah State,856.5425184723487,0.358056,0.051311,0.021827,0.004748,0.001415,0.000531
Tennessee,1312.3027150754185,0.940279,0.805392,0.569708,0.219388,0.096287,0.048608
Wofford,834.3178871736584,0.059721,0.030563,0.011739,0.002343,0.000644,0.00021
